role,atom_id,x_A,y_A,z_A,is_gb,first_neighbor_count,distance_to_nearest_gb_A,bulk_distance_rank,wagih_delta_e_kj_mol
gb_sample,371690,143.1060028,111.1869965,121.4950028,1,,0.0,,19.035883
gb_sample,469599,114.6340027,129.5650025,39.1081009,1,,0.0,,35.7956734
gb_sample,377713,95.716301,182.4250031,56.983799,1,,0.0,,34.3549729
gb_sample,225673,171.871994,50.9356996,160.9149934,1,,0.0,,14.3910141
gb_sample,365878,149.1529999,148.2630005,117.5550003,1,,0.0,,24.9684354
gb_sample,215258,130.2460022,62.8903008,107.2220001,1,,0.0,,5.3919664
gb_sample,460139,126.4469986,169.526001,10.2888003,1,,0.0,,30.2041588
gb_sample,306240,167.977005,86.5485001,57.0293999,1,,0.0,,23.4925366
gb_sample,172065,123.6210022,187.2550049,85.0289001,1,,0.0,,18.2789402
gb_sample,250511,92.0164032,113.2139969,95.2434998,1,,0.0,,4.0155954
gb_sample,235124,151.0010071,27.7950001,188.4369965,1,,0.0,,9.3641472
gb_sample,29507,179.2599945,139.651001,149.1699982,1,,0.0,,23.509615
gb_sample,200956,106.163002,189.8860016,-0.583863,1,,0.0,,19.7629452
gb_sample,292066,111.0429993,181.2810059,148.0240021,1,,0.0,,22.9680862
gb_sample,335346,36.1144981,44.9109002,14.2601004,1,,0.0,,3.3714516
gb_sample,151595,6.1725001,67.6163025,135.0169983,1,,0.0,,4.0993586
gb_sample,196897,127.3990021,177.1600037,162.4940033,1,,0.0,,39.3435402
gb_sample,273964,33.3101006,21.8486004,100.5329972,1,,0.0,,-1.6462343
gb_sample,333665,0.401656,195.5370026,130.8339997,1,,0.0,,48.7346115
gb_sample,370608,144.4049988,120.9700012,106.8909988,1,,0.0,,26.5145111
gb_sample,131415,23.7968998,92.2907028,78.9341966,1,,0.0,,-14.0243826
gb_sample,420923,158.3540039,163.5639954,126.5100022,1,,0.0,,22.1547699
gb_sample,446346,180.2539978,190.8419952,77.920601,1,,0.0,,10.8046284
gb_sample,144664,144.6790009,40.2783013,114.8069992,1,,0.0,,-9.8070927
gb_sample,1985,22.3995991,193.0679932,194.2319946,1,,0.0,,23.2279396
gb_sample,446340,181.5859986,192.4369965,80.0754013,1,,0.0,,8.5430613
gb_sample,249039,91.6921997,118.1380005,93.2617035,1,,0.0,,-6.1581588
gb_sample,74268,10.5131998,126.0759964,192.2969971,1,,0.0,,-4.4364724
gb_sample,76397,52.9757004,116.0400009,69.3323975,1,,0.0,,16.6749974
gb_sample,405909,17.0188007,146.9880066,14.6451998,1,,0.0,,28.9916458
gb_sample,175452,116.5599976,172.0679932,121.6200028,1,,0.0,,21.3935108
gb_sample,322167,44.8128014,59.9445992,172.3690033,1,,0.0,,26.9172516
gb_sample,231005,120.6650009,22.1627007,133.4559937,1,,0.0,,12.6318674
gb_sample,194690,78.0236969,68.3758011,187.4649964,1,,0.0,,21.4372463
gb_sample,276026,47.8372002,25.2418003,103.3779984,1,,0.0,,47.1377678
