atom_id,delta_e_kj_mol
1270,-12.7854262
1271,22.1735497
1272,-9.3080492
1273,9.6466341
1275,35.7311974
1278,-5.3575812
1279,4.0589428
1282,38.8147507
1283,33.6721611
1285,12.8233147
1286,11.035903
1287,55.840683
1288,37.1278534
1289,3.4399033
1290,5.4538803
1291,4.9087152
1292,16.9549848
1293,-11.4443865
1294,32.9132272
1295,-8.6063471
1296,10.4679108
1297,30.070118
1298,-14.4487601
1299,30.6601353
1300,18.7294598
1302,17.0210857
1303,50.9666024
1306,2.7720304
1307,43.9221458
1310,0.2627455
1322,13.0998774
1323,10.8252735
1325,10.9943562
1326,21.7833138
1327,11.7863455
1328,-10.0412169
1329,-13.0934753
1330,11.1859074
1331,-3.5628984
1332,-11.5086794
1333,21.5415192
1334,37.3194847
1335,20.9454212
1336,10.0654497
1337,-2.4158883
1338,17.4157868
1339,16.6363926
1340,8.0667572
1341,-0.8303825
1342,16.9945946
1361,2.9735956
1364,12.9228306
1365,10.7299443
1366,12.0558853
1369,20.7610379
1370,36.048172
1372,20.481863
1373,6.6832271
1374,49.2173653
1375,25.8367005
1376,22.5901165
1377,37.1201515
1378,-5.5650201
1379,-3.0624507
1380,18.019558
1381,9.4447603
1382,27.9937572
1383,13.0969381
1384,18.1731567
1385,11.9716044
1386,-4.8171087
1387,21.4126778
1389,-9.8757124
1419,23.2095032
1420,23.6032677
1422,43.7708016
1423,20.6408901
1424,30.4023781
1425,29.511509
1426,27.696064
1427,-16.1025944
1428,13.5080443
1429,-13.549408
1430,16.6808796
1431,2.1913982
1432,39.6977921
1433,1.7239157
1434,9.454464
1435,14.8249626
1436,-1.0673438
1437,34.177784
1470,24.048275
1473,30.5072251
1474,17.8205185
1476,2.2048261
1477,36.8540612
1478,33.8527184
1479,-11.7648411
1480,20.8091069
1482,6.1328621
1483,-4.6921439
1484,-1.5018963
1485,113.4132996
1488,23.3945694
1490,11.761776
1526,38.7828865
1527,45.7861748
1529,47.4540825
1530,16.0290871
1531,7.8773166
1532,19.0226307
1533,17.2448979
1535,-5.7057195
1536,-14.4910717
1537,15.6348229
1539,-10.3929138
1574,18.010994
1577,6.728539
1578,10.0211725
1580,47.5023575
1581,5.8382745
1582,11.1162891
1583,1.2056248
1584,11.1603289
1585,-5.42657
1586,-10.3992911
1587,-17.9448472
1588,15.9750214
1627,14.0629034
1631,19.477541
1632,5.7258549
1633,8.988493
1634,-9.3566618
1635,-22.9741154
1636,12.5384789
1637,-0.0948624
1638,20.9713554
1640,30.6205845
1641,10.8951388
1677,2.849344
1680,-6.3053813
1681,-34.4743767
1683,13.2147465
1684,13.6279927
1685,3.5855408
1686,24.0931015
