atom_id,delta_e_kj_mol,pe_eV,bulk_reference_pe_eV,x_A,y_A,z_A,first_neighbor_count
42840,-0.8628144821764396,-274146.675926596,-274146.666984154,53.67865384602081,81.00136573680113,65.24676190508671,13
35410,-1.7762606119948348,-274146.685393798,-274146.666984154,43.70551842689576,26.860907611743492,1.9835661170930214,13
46059,0.7239668872916349,-274146.659480766,-274146.666984154,57.695606186070364,84.54517611679708,40.46442746844538,11
35471,0.5597717174811546,-274146.661182529,-274146.666984154,49.329710913076696,5.957711196280473,76.58560996915121,13
52452,0.2503388176159546,-274146.664389575,-274146.666984154,67.56468394839844,75.45949096452735,69.30687483867922,13
31839,0.4393722080247948,-274146.662430382,-274146.666984154,38.96421705266388,77.63336090467212,77.51373584969348,13
12360,-1.713099580251498,-274146.68473918,-274146.666984154,15.056211799037888,21.225490447385784,33.52054923425145,13
10040,-4.033662222255682,-274146.708790117,-274146.666984154,13.057898382722646,59.55281510681486,20.983210938014643,13
63809,3.15663844257249,-274146.634267902,-274146.666984154,79.8700546881572,17.764988117725427,19.23375922301742,11
31178,-0.5932033028192576,-274146.673132273,-274146.666984154,38.24516792442389,39.4845503717975,4.760646083401458,13
4534,0.3237825851607796,-274146.663628384,-274146.666984154,6.625425151307311,96.67305902488184,23.230680409470875,13
14730,4.453451577724138,-274146.620827381,-274146.666984154,18.645197054925323,93.69284449475813,77.01635575860838,11
31403,-0.41757954372922784,-274146.671312061,-274146.666984154,38.617053155461925,42.61839320903468,7.915398961032961,13
76105,-0.32053498096860583,-274146.670306265,-274146.666984154,95.309125790667,7.307768455772074,76.64795800098722,13
55938,2.5455048834760157,-274146.640601855,-274146.666984154,69.0751385784457,45.28245011288902,61.42405006220919,11
4582,-0.41147202062962474,-274146.671248761,-274146.666984154,5.517854798395687,92.71019460005323,39.03552079013885,13
55835,1.9260358604939305,-274146.647022199,-274146.666984154,68.68472440978657,67.07699896257579,37.70575795970502,11
29714,0.27865320992377823,-274146.664096117,-274146.666984154,36.27943414635995,58.95800880293588,83.49070314024208,11
68616,2.4645176072108366,-274146.641441229,-274146.666984154,83.96204473222305,84.68475812751574,52.60010814120089,11
16602,-1.1064691797765394,-274146.678451899,-274146.666984154,23.589215237265616,74.81594952763768,74.12007586984952,13
72691,0.5661045338619038,-274146.661116894,-274146.666984154,91.06745132200565,58.98326767814829,23.83748944878027,11
38231,4.515030350295497,-274146.620189162,-274146.666984154,46.450961259519865,17.416180543855493,16.49149313987206,11
28945,2.917507166791173,-274146.636746323,-274146.666984154,36.56089772282615,66.81854091245414,44.178231602991616,11
40444,0.10140666526723623,-274146.665933148,-274146.666984154,48.866645514726684,27.57814599213734,62.59645311526739,13
29682,2.339395329431536,-274146.64273803,-274146.666984154,37.494941161474436,71.693312217702,41.71269845350243,11
31033,7.702101514869506,-274146.587157497,-274146.666984154,39.43538815630369,11.535333691963105,74.70855162169741,11
76980,1.3233948443751868,-274146.653268133,-274146.666984154,95.7340947143247,12.709469089671133,64.06450780823144,11
54733,1.9695386873201377,-274146.646571324,-274146.666984154,69.15650807222977,69.01025847005495,39.26625092828137,11
70840,-1.4738095854518969,-274146.682259114,-274146.666984154,91.1513578179846,17.376444094873523,37.163586475949046,13
77341,2.969676497940829,-274146.636205626,-274146.666984154,95.95909101719147,77.3945139359785,4.453553288743424,11
60068,0.25033225791129604,-274146.664389643,-274146.666984154,76.79831053847296,86.76553089352976,38.00994473169784,11
38790,-1.590404393195871,-274146.683467534,-274146.666984154,48.99515850720048,28.295456593775874,25.09100268302762,13
66421,-1.2966447619104977,-274146.68042293,-274146.666984154,84.17883460606772,20.620637235658798,40.60621042789222,13
39969,6.305557477494911,-274146.601631656,-274146.666984154,49.15435796842086,40.21427241885455,61.06097834644781,11
59104,4.299989241669301,-274146.622417906,-274146.666984154,73.95584117271338,1.329402728683699,61.689278179783,11
35913,-4.3735774406565096,-274146.71231309,-274146.666984154,45.35619957994479,96.69916319326774,18.104291723159143,15
20114,0.9917341381622397,-274146.656705554,-274146.666984154,24.553000231604997,45.13734824770796,58.415831168979054,13
